,id_aeroporto,data,B_data,A_effettoSulVolo,id_specie_volatile_b,id_gruppo,B_partiColpite
3,7,2011-06-27 00:00:00,2011-06-27 11:20:00,Nessuno,25,13,Radome
4,7,2011-06-12 00:00:00,2011-06-12 16:40:00,,1440,10,Nose
5,7,2011-08-03 00:00:00,2011-08-03 17:10:00,,25,13,Wing/Rotor
9,7,2012-04-21 00:00:00,2012-04-21 11:45:00,Nessuno,25,13,Wing/Rotor
10,7,2012-05-01 00:00:00,2012-05-01 07:21:00,Decollo abortito,11,13,"Windshield,Fuselage"
16,7,2013-04-28 00:00:00,2013-04-28 11:50:00,Nessuno,2,7,Engine 2
22,7,2013-07-22 00:00:00,2013-07-22 18:52:00,Nessuno,25,13,Radome
24,7,2013-08-09 00:00:00,2013-08-09 10:00:00,Nessuno,25,13,Wing/Rotor
25,7,2013-08-13 00:00:00,2013-07-04 12:15:00,Nessuno,25,13,
26,7,2013-08-19 00:00:00,2013-08-19 20:30:00,Nessuno,25,13,"Engine 2,Fuselage"
27,7,2013-09-08 00:00:00,2013-08-09 10:15:00,Nessuno,25,13,
28,7,2013-09-09 00:00:00,2013-08-20 10:05:00,Nessuno,25,13,Wing/Rotor
29,7,2013-09-18 00:00:00,2013-09-10 09:45:00,Nessuno,7,6,Landing Gear
31,7,2013-08-08 00:00:00,2013-08-08 14:20:00,,25,13,Engine 2
32,7,2013-09-23 00:00:00,2013-08-31 12:30:00,Nessuno,25,13,Wing/Rotor
33,7,2013-09-22 00:00:00,2013-09-22 09:50:00,Nessuno,25,13,Wing/Rotor
34,7,2013-10-17 00:00:00,2013-10-17 21:00:00,Nessuno,25,13,"Nose,Fuselage"
36,7,2013-12-29 00:00:00,2013-12-29 16:15:00,,5,3,Landing Gear
48,7,2014-06-16 00:00:00,2014-05-21 20:00:00,Nessuno,25,13,"Radome,Windshield"
52,7,2014-06-13 00:00:00,2014-06-13 17:45:00,Nessuno,25,13,
57,7,2014-09-17 00:00:00,2014-09-16 20:10:00,Nessuno,1440,10,Wing/Rotor
61,7,2014-09-27 00:00:00,2014-09-27 18:32:00,Nessuno,25,13,Radome
63,7,2014-11-04 00:00:00,2014-11-04 15:00:00,,25,13,Wing/Rotor
65,7,2014-08-28 00:00:00,2014-08-28 13:10:00,,25,13,Engine 2
70,7,2015-02-22 00:00:00,2015-02-22 13:35:00,,38,8,Engine 2
73,7,2015-03-18 00:00:00,2015-03-14 22:00:00,Nessuno,25,13,Engine 2
89,7,2015-09-21 00:00:00,2015-09-21 11:41:00,,7,6,Engine 1
108,7,2016-08-18 00:00:00,2016-07-01 10:10:00,Nessuno,25,13,Radome
135,7,2017-08-04 00:00:00,2017-08-04 18:43:00,Nessuno,14,12,Radome
136,7,2017-08-05 00:00:00,2017-08-05 10:42:00,Nessuno,14,12,Windshield
141,7,2017-10-26 00:00:00,2017-09-01 12:00:00,,5,3,Wing
142,7,2017-12-10 00:00:00,2017-11-11 10:47:00,,2,7,Wing
